top_type,top_color,bottom_type,bottom_color
hoodie,grey,jeans,blue
shirt,maroon,shorts,grey
dress,grey,shoes,blue
shirt,white,jeans,denim
dress,peach,shoes,brown
hoodie,blue,shorts,beige
shirt,brown,shorts,cream
hoodie,brown,trousers,cream
hoodie,cream,trousers,navy
shirt,navy,jeans,khaki
shirt,yellow,jeans,blue
shirt,black,shorts,white
dress,white,shoes,black
hoodie,yellow,trousers,blue
dress,light blue,shoes,dark blue
dress,olive,shoes,brown
hoodie,cream,trousers,navy
hoodie,olive,jeans,brown
hoodie,blue,shorts,beige
hoodie,red,jeans,black
t-shirt,lavender,trousers,grey
shirt,beige,trousers,olive
shirt,white,jeans,denim
hoodie,brown,shorts,cream
hoodie,yellow,jeans,blue
hoodie,beige,trousers,olive
hoodie,maroon,shorts,grey
dress,cream,shoes,navy
t-shirt,beige,shorts,olive
dress,brown,shoes,cream
hoodie,black,trousers,white
dress,lavender,shoes,grey
dress,beige,shoes,olive
dress,peach,shoes,brown
dress,pink,shoes,white
hoodie,green,shorts,white
dress,pink,shoes,white
dress,pink,shoes,white
t-shirt,white,trousers,denim
dress,grey,shoes,blue
t-shirt,black,trousers,white
hoodie,teal,shorts,tan
t-shirt,blue,shorts,beige
shirt,teal,trousers,tan
dress,blue,shoes,beige
dress,black,shoes,white
hoodie,lavender,shorts,grey
hoodie,black,trousers,white
hoodie,yellow,jeans,blue
t-shirt,lavender,jeans,grey
shirt,olive,jeans,brown
hoodie,cream,trousers,navy
shirt,maroon,shorts,grey
t-shirt,pink,shorts,white
dress,navy,shoes,khaki
hoodie,red,trousers,black
dress,white,shoes,black
dress,yellow,shoes,blue
hoodie,cream,shorts,navy
shirt,red,jeans,black
dress,beige,shoes,olive
dress,brown,shoes,cream
dress,cream,shoes,navy
dress,lavender,shoes,grey
shirt,yellow,trousers,blue
t-shirt,white,jeans,denim
t-shirt,cream,jeans,navy
dress,light blue,shoes,dark blue
hoodie,cream,shorts,navy
dress,beige,shoes,olive
t-shirt,teal,trousers,tan
hoodie,teal,jeans,tan
t-shirt,white,jeans,denim
shirt,navy,jeans,khaki
dress,light blue,shoes,dark blue
t-shirt,white,jeans,denim
shirt,cream,shorts,navy
shirt,navy,shorts,khaki
dress,brown,shoes,cream
shirt,peach,jeans,brown
dress,peach,shoes,brown
dress,brown,shoes,cream
dress,black,shoes,white
hoodie,cream,jeans,navy
dress,black,shoes,white
dress,yellow,shoes,blue
shirt,navy,jeans,khaki
dress,brown,shoes,cream
hoodie,pink,jeans,white
t-shirt,red,shorts,black
t-shirt,maroon,jeans,grey
hoodie,white,trousers,black
shirt,white,trousers,black
hoodie,cream,shorts,navy
t-shirt,peach,shorts,brown
dress,grey,shoes,blue
t-shirt,cream,jeans,navy
shirt,brown,shorts,cream
hoodie,beige,jeans,olive
t-shirt,lavender,jeans,grey
dress,teal,shoes,tan
t-shirt,maroon,trousers,grey
shirt,maroon,trousers,grey
hoodie,black,trousers,grey
hoodie,black,shorts,white
dress,lavender,shoes,grey
shirt,red,trousers,black
t-shirt,red,shorts,black
t-shirt,olive,shorts,brown
shirt,maroon,shorts,grey
shirt,teal,trousers,tan
shirt,blue,trousers,beige
shirt,cream,trousers,navy
shirt,beige,trousers,olive
dress,beige,shoes,olive
shirt,white,shorts,black
shirt,pink,trousers,white
t-shirt,brown,shorts,cream
dress,white,shoes,denim
shirt,cream,jeans,navy
dress,olive,shoes,brown
hoodie,peach,jeans,brown
hoodie,lavender,shorts,grey
dress,navy,shoes,khaki
hoodie,blue,jeans,beige
hoodie,olive,shorts,brown
dress,maroon,shoes,grey
t-shirt,blue,shorts,beige
shirt,maroon,shorts,grey
dress,teal,shoes,tan
shirt,green,trousers,white
hoodie,cream,trousers,navy
t-shirt,olive,trousers,brown
dress,pink,shoes,white
hoodie,blue,shorts,beige
t-shirt,light blue,shorts,dark blue
hoodie,brown,shorts,cream
t-shirt,beige,trousers,olive
hoodie,white,jeans,black
shirt,olive,jeans,brown
shirt,beige,jeans,olive
t-shirt,peach,jeans,brown
t-shirt,red,trousers,black
shirt,yellow,jeans,blue
t-shirt,lavender,jeans,grey
dress,beige,shoes,olive
dress,yellow,shoes,blue
shirt,white,shorts,black
shirt,black,trousers,white
dress,white,shoes,denim
dress,beige,shoes,olive
hoodie,black,jeans,grey
hoodie,brown,jeans,cream
dress,lavender,shoes,grey
shirt,olive,shorts,brown
