top_type,top_color,bottom_type,bottom_color,skin_color
hoodie,grey,jeans,blue,light
shirt,maroon,shorts,grey,medium
dress,grey,shoes,blue,light
shirt,white,jeans,denim,any
dress,peach,shoes,brown,fair
hoodie,blue,shorts,beige,light
shirt,brown,shorts,cream,medium
hoodie,brown,trousers,cream,medium
hoodie,cream,trousers,navy,any
shirt,navy,jeans,khaki,any
shirt,yellow,jeans,blue,light
shirt,black,shorts,white,any
dress,white,shoes,black,any
hoodie,yellow,trousers,blue,light
dress,light blue,shoes,dark blue,fair
dress,olive,shoes,brown,medium
hoodie,cream,trousers,navy,any
hoodie,olive,jeans,brown,medium
hoodie,blue,shorts,beige,light
hoodie,red,jeans,black,tan
tshirt,lavender,trousers,grey,any
shirt,beige,trousers,olive,medium
shirt,white,jeans,denim,any
hoodie,brown,shorts,cream,medium
hoodie,yellow,jeans,blue,light
hoodie,beige,trousers,olive,medium
hoodie,maroon,shorts,grey,medium
dress,cream,shoes,navy,any
tshirt,beige,shorts,olive,medium
dress,brown,shoes,cream,medium
hoodie,black,trousers,white,any
dress,lavender,shoes,grey,any
dress,beige,shoes,olive,medium
dress,peach,shoes,brown,fair
dress,pink,shoes,white,light
hoodie,green,shorts,white,light
dress,pink,shoes,white,light
dress,pink,shoes,white,light
tshirt,white,trousers,denim,any
dress,grey,shoes,blue,light
tshirt,black,trousers,white,any
hoodie,teal,shorts,tan,fair
tshirt,blue,shorts,beige,light
shirt,teal,trousers,tan,brown
dress,blue,shoes,beige,light
dress,black,shoes,white,any
hoodie,lavender,shorts,grey,any
hoodie,black,trousers,white,any
hoodie,yellow,jeans,blue,light
tshirt,lavender,jeans,grey,any
shirt,olive,jeans,brown,medium
hoodie,cream,trousers,navy,any
shirt,maroon,shorts,grey,medium
tshirt,pink,shorts,white,light
dress,navy,shoes,khaki,any
hoodie,red,trousers,black,tan
dress,white,shoes,black,any
dress,yellow,shoes,blue,light
hoodie,cream,shorts,navy,any
shirt,red,jeans,black,tan
dress,beige,shoes,olive,medium
dress,brown,shoes,cream,medium
dress,cream,shoes,navy,any
dress,lavender,shoes,grey,any
shirt,yellow,trousers,blue,light
tshirt,white,jeans,denim,any
tshirt,cream,jeans,navy,any
dress,light blue,shoes,dark blue,fair
hoodie,cream,shorts,navy,any
dress,beige,shoes,olive,medium
tshirt,teal,trousers,tan,tan
hoodie,teal,jeans,tan,brown
tshirt,white,jeans,denim,any
shirt,navy,jeans,khaki,any
dress,light blue,shoes,dark blue,fair
tshirt,white,jeans,denim,any
shirt,cream,shorts,navy,any
shirt,navy,shorts,khaki,any
dress,brown,shoes,cream,medium
shirt,peach,jeans,brown,fair
dress,peach,shoes,brown,fair
dress,brown,shoes,cream,medium
dress,black,shoes,white,any
hoodie,cream,jeans,navy,any
dress,black,shoes,white,any
dress,yellow,shoes,blue,light
shirt,navy,jeans,khaki,any
dress,brown,shoes,cream,medium
hoodie,pink,jeans,white,light
tshirt,red,shorts,black,tan
tshirt,maroon,jeans,grey,medium
hoodie,white,trousers,black,any
shirt,white,trousers,black,any
hoodie,cream,shorts,navy,any
tshirt,peach,shorts,brown,fair
dress,grey,shoes,blue,light
tshirt,cream,jeans,navy,any
shirt,brown,shorts,cream,medium
hoodie,beige,jeans,olive,medium
tshirt,lavender,jeans,grey,any
dress,teal,shoes,tan,light
tshirt,maroon,trousers,grey,medium
shirt,maroon,trousers,grey,medium
hoodie,black,trousers,grey,any
hoodie,black,shorts,white,any
dress,lavender,shoes,grey,any
shirt,red,trousers,black,tan
tshirt,red,shorts,black,tan
tshirt,olive,shorts,brown,medium
shirt,maroon,shorts,grey,medium
shirt,teal,trousers,tan,light
shirt,blue,trousers,beige,light
shirt,cream,trousers,navy,any
shirt,beige,trousers,olive,medium
dress,beige,shoes,olive,medium
shirt,white,shorts,black,any
shirt,pink,trousers,white,light
tshirt,brown,shorts,cream,medium
dress,white,shoes,denim,any
shirt,cream,jeans,navy,any
dress,olive,shoes,brown,medium
hoodie,peach,jeans,brown,fair
hoodie,lavender,shorts,grey,any
dress,navy,shoes,khaki,any
hoodie,blue,jeans,beige,light
hoodie,olive,shorts,brown,medium
dress,maroon,shoes,grey,medium
tshirt,blue,shorts,beige,light
shirt,maroon,shorts,grey,medium
dress,teal,shoes,tan,brown
shirt,green,trousers,white,light
hoodie,cream,trousers,navy,any
tshirt,olive,trousers,brown,medium
dress,pink,shoes,white,light
hoodie,blue,shorts,beige,light
tshirt,light blue,shorts,dark blue,fair
hoodie,brown,shorts,cream,medium
tshirt,beige,trousers,olive,medium
hoodie,white,jeans,black,any
shirt,olive,jeans,brown,medium
shirt,beige,jeans,olive,medium
tshirt,peach,jeans,brown,fair
tshirt,red,trousers,black,tan
shirt,yellow,jeans,blue,light
tshirt,lavender,jeans,grey,any
dress,beige,shoes,olive,medium
dress,yellow,shoes,blue,light
shirt,white,shorts,black,any
shirt,black,trousers,white,any
dress,white,shoes,denim,any
dress,beige,shoes,olive,medium
hoodie,black,jeans,grey,any
hoodie,brown,jeans,cream,medium
dress,lavender,shoes,grey,any
shirt,olive,shorts,brown,medium
dress,red,shoes,black,tan
dress,white,shoes,black,any
hoodie,pink,jeans,white,light
shirt,pink,shorts,white,light
dress,white,shoes,denim,any
dress,white,shoes,denim,any
dress,teal,shoes,tan,tan
shirt,lavender,shorts,grey,any
shirt,lavender,shorts,grey,any
dress,cream,shoes,navy,any
tshirt,beige,shorts,olive,medium
hoodie,beige,trousers,olive,medium
hoodie,teal,trousers,tan,light
shirt,yellow,jeans,blue,light
hoodie,green,jeans,white,light
hoodie,blue,trousers,beige,light
shirt,peach,shorts,brown,fair
shirt,red,trousers,black,tan
shirt,black,jeans,white,any
dress,navy,shoes,khaki,any
dress,green,shoes,white,light
dress,black,shoes,grey,any
dress,olive,shoes,brown,medium
shirt,pink,shorts,white,light
dress,maroon,shoes,grey,medium
hoodie,green,shorts,white,light
dress,yellow,shoes,blue,light
tshirt,olive,trousers,brown,medium
dress,maroon,shoes,grey,medium
dress,red,shoes,black,tan
dress,blue,shoes,beige,light
shirt,red,trousers,black,tan
hoodie,navy,shorts,khaki,any
shirt,beige,jeans,olive,medium
shirt,lavender,shorts,grey,any
shirt,black,shorts,grey,any
dress,beige,shoes,olive,medium
tshirt,green,trousers,white,light
hoodie,beige,trousers,olive,medium
shirt,black,shorts,white,any
tshirt,pink,jeans,white,light
dress,white,shoes,black,any
shirt,red,trousers,black,tan
hoodie,green,shorts,white,light
tshirt,black,shorts,grey,any
dress,teal,shoes,tan,medium
tshirt,brown,jeans,cream,medium
shirt,white,jeans,black,any
tshirt,beige,shorts,olive,medium
shirt,light blue,shorts,dark blue,fair
tshirt,black,trousers,white,any
shirt,pink,jeans,white,light
dress,black,shoes,grey,any
shirt,pink,jeans,white,light
tshirt,pink,trousers,white,light
hoodie,cream,jeans,navy,any
hoodie,grey,trousers,blue,light
shirt,navy,trousers,khaki,any
shirt,pink,trousers,white,light
hoodie,navy,trousers,khaki,any
shirt,brown,shorts,cream,medium
tshirt,white,trousers,denim,any
tshirt,grey,shorts,blue,light
shirt,cream,shorts,navy,any
shirt,peach,shorts,brown,fair
dress,white,shoes,denim,any
hoodie,peach,shorts,brown,fair
dress,navy,shoes,khaki,any
dress,black,shoes,white,any
tshirt,lavender,shorts,grey,any
shirt,lavender,shorts,grey,any
shirt,blue,shorts,beige,light
tshirt,pink,shorts,white,light
tshirt,white,jeans,black,any
dress,maroon,shoes,grey,medium
shirt,grey,shorts,blue,light
dress,olive,shoes,brown,medium
hoodie,olive,jeans,brown,medium
hoodie,white,jeans,denim,any
tshirt,olive,shorts,brown,medium
tshirt,navy,shorts,khaki,any
shirt,green,shorts,white,light
shirt,green,jeans,white,light
shirt,black,shorts,white,any
tshirt,blue,shorts,beige,light
tshirt,cream,jeans,navy,any
tshirt,black,jeans,grey,any
hoodie,beige,jeans,olive,medium
hoodie,navy,shorts,khaki,any
dress,black,shoes,white,any
hoodie,green,jeans,white,light
shirt,beige,trousers,olive,medium
dress,blue,shoes,beige,light
shirt,white,trousers,black,any
hoodie,light blue,shorts,dark blue,fair
tshirt,green,trousers,white,light
tshirt,pink,shorts,white,light
dress,black,shoes,white,any
shirt,peach,jeans,brown,fair
dress,cream,shoes,navy,any
dress,yellow,shoes,blue,light
dress,white,shoes,denim,any
shirt,white,shorts,denim,any
shirt,pink,trousers,white,light
hoodie,brown,shorts,cream,medium
tshirt,black,shorts,grey,any
tshirt,black,jeans,grey,any
dress,maroon,shoes,grey,medium
hoodie,beige,shorts,olive,medium
dress,green,shoes,white,light
dress,teal,shoes,tan,light
tshirt,brown,trousers,cream,medium
hoodie,navy,jeans,khaki,any
hoodie,light blue,shorts,dark blue,fair
tshirt,brown,jeans,cream,medium
hoodie,red,jeans,black,tan
shirt,maroon,shorts,grey,medium
dress,white,shoes,black,any
shirt,brown,trousers,cream,medium
dress,light blue,shoes,dark blue,fair
hoodie,maroon,trousers,grey,medium
