epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7945,1.22491,3.76978,1.68059,0.00481,0.92857,0.06078,0.02648,1.43037,4.51283,2.38459,2.727e-05,2.727e-05,2.727e-05
2,32.451,1.10913,3.77287,1.57489,0.00468,0.92857,0.12911,0.0824,1.27137,4.52387,2.07127,6.23701e-05,6.23701e-05,6.23701e-05
3,48.9409,0.96052,3.56235,1.42413,0.0047,0.92857,0.21391,0.14633,0.93661,4.26887,1.62412,9.60304e-05,9.60304e-05,9.60304e-05
4,65.0152,0.79456,3.37605,1.26168,0.00461,0.92857,0.32595,0.26628,0.74928,4.18097,1.41363,0.000128251,0.000128251,0.000128251
5,80.3052,0.70974,3.29684,1.20219,0.00481,1,0.37203,0.29877,0.7187,4.12748,1.36187,0.000159031,0.000159031,0.000159031
6,95.7944,0.82461,3.15653,1.26617,0.00458,1,0.29988,0.23138,0.69826,4.04036,1.34109,0.000188372,0.000188372,0.000188372
7,111.427,0.71402,3.04772,1.22521,0.00438,1,0.30882,0.24362,0.7293,3.93596,1.31966,0.000216273,0.000216273,0.000216273
8,126.887,0.69475,2.94856,1.19751,0.0043,1,0.32318,0.26777,0.72189,3.83421,1.35066,0.000242734,0.000242734,0.000242734
9,142.549,0.68302,2.75515,1.17433,0.0041,1,0.43075,0.37833,0.74717,3.73453,1.38671,0.000267755,0.000267755,0.000267755
10,158.11,0.75501,2.69505,1.25696,0.40064,0.33333,0.49615,0.41117,0.79906,3.64672,1.51099,0.000291336,0.000291336,0.000291336
11,173.689,0.82071,2.50345,1.30126,0.78,0.28571,0.56077,0.43838,0.82414,3.53588,1.58704,0.000313478,0.000313478,0.000313478
12,189.452,0.67719,2.36553,1.16106,0.91403,0.06615,0.52702,0.41996,0.88331,3.54819,1.57403,0.000334179,0.000334179,0.000334179
13,204.994,0.69512,2.13605,1.15843,0.00382,1,0.60783,0.43342,0.87073,3.68701,1.46599,0.000353441,0.000353441,0.000353441
14,220.673,0.75623,1.99078,1.19143,0.0039,1,0.70973,0.52184,0.86376,3.64303,1.47672,0.000371263,0.000371263,0.000371263
15,237.006,0.78419,2.14877,1.24389,0.73936,0.32497,0.7106,0.50302,0.82195,3.47415,1.42811,0.000387645,0.000387645,0.000387645
16,258.697,0.70435,1.91873,1.19636,0.64093,0.5,0.76954,0.52844,0.80401,3.30865,1.43753,0.000402587,0.000402587,0.000402587
17,348.004,0.75107,2.0459,1.20686,0.6541,0.44597,0.68324,0.47718,0.78089,3.20497,1.43927,0.000416089,0.000416089,0.000416089
18,363.345,0.70248,1.82417,1.20495,0.65175,0.31388,0.59288,0.4483,0.76795,3.38241,1.38772,0.000428152,0.000428152,0.000428152
19,379.137,0.65365,1.78554,1.19274,0.67064,0.30952,0.60546,0.47151,0.75584,3.31232,1.36254,0.000438774,0.000438774,0.000438774
20,394.734,0.59898,1.6164,1.04944,0.67237,0.40223,0.70724,0.56769,0.77048,3.13926,1.33828,0.000447957,0.000447957,0.000447957
21,410.135,0.59728,1.62088,1.09689,0.67363,0.4274,0.65318,0.55104,0.76917,3.17248,1.39596,0.0004557,0.0004557,0.0004557
22,425.694,0.71655,1.62862,1.24796,0.64633,0.35936,0.62744,0.51999,0.78113,3.2581,1.44226,0.000462003,0.000462003,0.000462003
